County,Per 1000,Population,Start Lat,Start Lng,COUNTYFP
Albany,3.869409039,"313,743",43,-74,36001
Allegany,0.065067453,"46,106",42,-78,36003
Bronx,2.386753762,"1,424,948",41,-74,36005
Broome,1.150882174,"197,240",42,-76,36007
Cattaraugus,0.327113809,"76,426",42,-79,36009
Cayuga,1.396942541,"75,880",43,-77,36011
Chautauqua,1.324847997,"126,807",42,-79,36013
Chemung,0.096333313,"83,045",42,-77,36015
Chenango,0.193394503,"46,537",42,-76,36017
Clinton,0.339213026,"79,596",45,-74,36019
Columbia,4.516170805,"61,778",42,-74,36021
Cortland,0.626201119,"46,311",43,-76,36023
Delaware,0.676010636,"44,378",42,-75,36025
Dutchess,2.975308974,"297,112",42,-74,36027
Erie,1.508389232,"950,683",43,-79,36029
Essex,0.509820758,"37,268",44,-74,36031
Franklin,0.421443021,"47,456",45,-74,36033
Fulton,0.207093908,"53,116",43,-74,36035
Genesee,3.491608041,"57,853",43,-78,36037
Greene,2.989752366,"48,499",42,-74,36039
Hamilton,0.976753272,"5,119",44,-74,36041
Herkimer,1.38478736,"59,937",43,-75,36043
Jefferson,0.43853992,"116,295",44,-76,36045
Kings,0.722060755,"2,641,052",41,-74,36047
Lewis,0.602114929,"26,573",44,-75,36049
Livingston,0.82821787,"61,578",43,-78,36051
Madison,1.271098761,"67,658",43,-76,36053
Monroe,7.21568939,"755,160",43,-78,36055
Montgomery,2.764437629,"49,558",43,-74,36057
Nassau,1.970656557,"1,390,907",41,-74,36059
New York,1.63297558,"1,576,876",41,-74,36061
Niagara,0.543342169,"211,653",43,-79,36063
Oneida,4.338310013,"230,274",43,-75,36065
Onondaga,4.177619623,"473,236",43,-76,36067
Ontario,1.635439258,"112,508",43,-77,36069
Orange,1.485693097,"404,525",41,-74,36071
Orleans,0.671792192,"40,191",43,-78,36073
Oswego,0.451498036,"117,387",43,-76,36075
Otsego,0.602171258,"58,123",43,-75,36077
Putnam,4.615258945,"97,936",41,-74,36079
Queens,1.693589797,"2,331,143",41,-74,36081
Rensselaer,2.689849718,"160,232",43,-74,36083
Richmond,1.144897405,"493,494",41,-74,36085
Rockland,2.791640996,"339,227",41,-74,36087
Saint Lawrence,3.564221285,"237,359",44,-75,36099
Saratoga,1.954595196,"158,089",43,-74,36091
Schenectady,1.105046378,"29,863",43,-74,36093
Schoharie,0.337990086,"17,752",43,-74,36095
Schuyler,1.870102114,"33,688",42,-77,36097
Seneca,0.194352667,"108,051",43,-77,36099
Steuben,0.161380557,"92,948",42,-77,36101
Suffolk,1.373215998,"1,526,344",41,-73,36103
Sullivan,0.438563517,"79,806",42,-75,36105
Tioga,0.8336807,"47,980",42,-76,36107
Tompkins,0.152146213,"105,162",42,-76,36109
Ulster,1.73817033,"182,951",42,-74,36111
Warren,3.550854948,"65,618",43,-74,36113
Washington,1.820985629,"60,956",43,-73,36115
Wayne,0.098984855,"90,923",43,-77,36117
Westchester,3.680747974,"997,895",41,-74,36119
Wyoming,0.814995925,"40,491",43,-78,36121
Yates,0.081257872,24613,43,-77,36123
